tconst,title,type,year,minutes,rating,votes,principals,genre
tt0040844,Crossroads of Laredo,short,1995,30,3.7,167,8,Short
tt0059325,Born in '45,movie,1990,100,6.5,208,10,Drama
tt0059900,When You Grow Up Dear Adam,movie,1990,78,6.8,26,10,Drama
tt0078006,Norman and the Killer,short,1991,30,7.2,25,10,Other
tt0078135,Solution One,short,1995,11,7.0,51,2,Drama
tt0081145,Me and the Kid,movie,1993,94,5.4,244,10,Comedy
tt0081721,Vincent and Me,movie,1990,100,6.3,292,10,Drama
tt0082473,The Great Barrier Reef,short,1999,39,7.0,112,8,Documentary
tt0082631,Short Working Day,tvMovie,1995,73,6.9,305,10,Drama
tt0084015,Goodbye Paradise,movie,1991,101,7.3,39,10,Drama
tt0084638,Scenes from the Life of Andy Warhol: Friendships and Intersections,short,1990,36,7.0,309,10,Documentary
tt0088473,Adventures in Wonderland,tvSeries,1992,30,8.0,558,10,Comedy
tt0088655,A.D. Police File 1,tvMiniSeries,1990,121,6.8,641,10,Animation
tt0088656,A.D. Police File 2,tvEpisode,1990,40,6.8,132,10,Animation
tt0088657,AD Police Files 3: The Man Who Bites His Tongue,tvEpisode,1990,40,7.1,147,10,Animation
tt0089749,Otaku no bideo,tvMiniSeries,1991,50,7.2,525,10,Animation
tt0090008,Shattered Dreams,tvMovie,1990,94,5.8,132,10,Drama
tt0092350,Fight Back with David Horowitz,tvSeries,1991,30,7.9,24,3,News
tt0092589,Astonished,movie,1990,93,4.3,20,10,Other
tt0093061,Funkytown,movie,1998,82,7.7,11,6,Documentary
tt0093613,New York's Finest,video,1990,86,5.3,48,9,Comedy
tt0094073,The Sun and the Moon,movie,1990,97,7.2,12,10,Drama
tt0094547,Sidewalks Entertainment,tvSeries,1994,30,4.2,48,10,Talk-Show
tt0094900,Committed,movie,1991,90,5.2,183,10,Drama
tt0094908,Cool Blue,video,1990,93,4.5,371,10,Comedy
tt0094926,Curse of the Crystal Eye,movie,1991,73,4.8,79,10,Action
tt0094943,By Herself: A Dancer,tvShort,1991,30,6.2,6,6,Drama
tt0094997,Demonia,movie,1990,88,4.5,1240,10,Other
tt0095095,Emperor of the Bronx,movie,1990,104,4.1,68,10,Action
tt0095290,Lethal Angels,movie,1990,91,5.9,27,10,Action
tt0095745,Black and White: A Warrior's Quest,movie,1993,87,2.2,251,7,Action
tt0095821,Maximum Security,movie,1990,90,3.4,65,10,Action
tt0095840,Payback,movie,1990,90,4.6,53,10,Action
tt0095878,A Hazing in Hell,movie,1990,90,4.8,627,9,Comedy
tt0096035,Sapphire Man,short,1990,25,5.6,7,10,Short
tt0096075,Sexpot,movie,1990,95,5.6,39,10,Comedy
tt0096154,Spies Inc.,movie,1992,93,4.2,92,10,Adventure
tt0096177,Still Life: The Fine Art of Murder,movie,1990,83,4.5,87,10,Other
tt0096254,That Burning Question,short,1990,30,7.3,21,6,Short
tt0096513,Outlaw Brothers,movie,1990,97,6.8,170,10,Action
tt0096591,Nadia: The Secret of Blue Water,tvSeries,1990,25,7.8,1530,10,Adventure
tt0096597,Good Times Bad Times,tvSeries,1990,23,3.5,1263,10,Drama
tt0096657,Mr. Bean,tvSeries,1990,25,8.5,101627,10,Comedy
tt0096673,The Outsiders,tvSeries,1990,60,7.2,503,10,Drama
tt0096786,Alienator,movie,1990,93,3.2,1353,10,Action
tt0096799,The American Angels: Baptism of Blood,video,1990,99,5.6,154,8,Drama
tt0096837,The Assassin,movie,1990,91,4.5,62,10,Action
tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,movie,1990,80,6.2,50,10,Comedy
tt0096871,Baby Blood,movie,1990,88,6.0,1539,10,Other
tt0096875,Catchfire,movie,1990,116,5.4,3385,10,Action
tt0096995,Burndown,movie,1990,86,4.2,115,10,Other
tt0097004,Caged Fury,movie,1990,95,4.0,667,9,Action
tt0097013,Captain Power: The Beginning,tvMovie,1991,94,7.3,153,10,Action
tt0097064,Circle of Fear,movie,1992,88,5.5,35,9,Action
tt0097079,Father Jim,movie,1991,105,5.9,65,10,Drama
tt0097082,Columbo Cries Wolf,tvEpisode,1990,98,7.8,1543,10,Crime
tt0097086,Murder in Malibu,tvEpisode,1990,98,6.6,1212,10,Crime
tt0097088,Rest in Peace Mrs. Columbo,tvEpisode,1990,98,7.8,1490,10,Crime
tt0097091,Uneasy Lies the Crown,tvEpisode,1990,98,7.4,1236,10,Crime
tt0097106,Tales of Four Seasons,movie,1990,108,7.3,3696,10,Comedy
tt0097115,Courage Mountain: Heidi's New Adventure,movie,1990,94,5.7,729,10,Adventure
tt0097129,Crossing the Line,movie,1990,94,6.1,77,10,Action
tt0097176,Deceit,movie,1990,90,4.7,684,10,Comedy
tt0097184,Heartstone,movie,1990,88,4.7,142,10,Action
tt0097259,Easy Kill,movie,1990,89,4.3,44,10,Action
tt0097298,Eternity,movie,1990,110,2.7,145,10,Drama
tt0097318,Eye of the Widow,movie,1991,95,3.7,64,10,Action
tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,movie,1990,102,3.6,1402,10,Comedy
tt0097405,Fathers' Day,movie,1990,83,4.6,104,10,Comedy
tt0097429,Ghoulies Go to College,video,1990,94,4.0,2225,10,Comedy
tt0097505,High Finance Woman,movie,1990,100,4.5,91,10,Drama
tt0097516,Back to Hollywood Boulevard,movie,1990,82,5.2,80,10,Comedy
tt0097522,Hometown Boy Makes Good,tvMovie,1990,88,5.3,66,10,Comedy
tt0097542,The Trace of Lynx,movie,1990,83,6.4,5,8,Action
tt0097550,I Bought a Vampire Motorcycle,movie,1990,101,5.6,1027,9,Comedy
tt0097573,In the Cold of the Night,movie,1990,112,4.0,568,8,Drama
tt0097631,Hitz,movie,1992,85,4.8,116,10,Crime
tt0097638,Happy Ghost IV,movie,1990,88,5.8,139,10,Comedy
tt0097655,Keaton's Cop,movie,1990,100,4.6,191,10,Crime
tt0097666,The Killer,movie,1990,80,6.3,62,10,Other
tt0097718,The Laughing Dead,movie,1990,103,3.8,280,10,Other
tt0097720,Law at Randado,movie,1990,110,3.8,123,9,Other
tt0097726,Legion of Iron,movie,1990,90,4.3,105,10,Action
tt0097766,What Happened to Santiago,movie,1995,105,7.0,210,10,Comedy
tt0097769,The Local Stigmatic,movie,1990,56,5.9,1434,10,Drama
tt0097837,Marked for Murder,video,1990,88,4.4,57,7,Other
tt0097863,Men in Love,movie,1990,85,4.0,43,8,Drama
tt0097874,Metamorphosis,movie,1990,92,3.8,775,9,Other
tt0097884,May Fools,movie,1990,107,7.3,2821,10,Comedy
tt0097910,Moon 44,movie,1990,98,5.1,4721,10,Action
tt0097919,Location Hunting,movie,1990,106,5.1,9,10,Documentary
tt0097988,Beyond Justice,tvMiniSeries,1991,300,5.8,169,10,Action
tt0097994,Double Fault,movie,1990,90,5.7,579,10,Comedy
tt0098043,Out of Sight Out of Mind,movie,1990,94,2.6,194,10,Other
tt0098063,Paprika,movie,1991,99,5.6,3364,10,Drama
tt0098069,Party Girls,video,1990,80,5.2,73,10,Comedy
tt0098100,The Platinum Triangle,movie,1990,91,5.4,26,10,Crime
tt0098136,Prom Night III: The Last Kiss,movie,1990,97,4.7,1943,10,Comedy
tt0098139,Warsaw Bridge,movie,1990,85,6.6,226,10,Drama
tt0098199,The Revenger,movie,1990,87,4.8,326,10,Action
tt0098211,Cyber-C.H.I.C.,movie,1990,102,2.3,234,8,Action
tt0098278,Secret Scandal,movie,1990,85,5.6,22,8,Drama
tt0098344,Skinned Alive,movie,1990,80,3.4,466,8,Comedy
tt0098372,Spirit of the Eagle,movie,1991,93,5.6,138,10,Adventure
tt0098375,Spontaneous Combustion,movie,1990,97,4.8,2309,10,Other
tt0098468,Things That Aren't There Anymore,tvMovie,1990,59,8.3,9,1,Documentary
tt0098488,Tom et Lola,movie,1990,97,6.6,256,10,Other
tt0098532,The Match Factory Girl,movie,1990,69,7.6,8923,8,Comedy
tt0098588,Forbidden Love,movie,1990,91,6.9,163,10,Drama
tt0098629,Weininger's Last Night,movie,1990,105,7.1,49,10,Drama
tt0098736,Against the Law,tvSeries,1990,60,6.2,29,10,Comedy
tt0098741,America' Funniest: Part II,tvSeries,1990,30,4.0,125,10,Comedy
tt0098742,American Chronicles,tvSeries,1990,30,7.3,63,3,Documentary
tt0098743,American Dreamer,tvSeries,1990,30,6.7,43,10,Comedy
tt0098744,American Music Shop,tvSeries,1990,60,7.4,10,10,Music
tt0098745,Babes,tvSeries,1990,30,6.9,67,10,Comedy
tt0098746,Bagdad Cafe,tvSeries,1990,30,6.8,287,10,Comedy
tt0098748,The Ben Stiller Show,tvSeries,1990,30,6.1,103,4,Comedy
tt0098749,Class of Beverly Hills,tvSeries,1990,44,6.3,31095,10,Drama
tt0098750,Big Break,tvSeries,1990,60,6.1,8,10,Game-Show
tt0098751,Big Brother Jake,tvSeries,1990,30,6.1,50,10,Comedy
tt0098752,Bill & Ted's Excellent Adventures,tvSeries,1990,30,6.5,1633,10,Adventure
tt0098754,The New Adventures of the Black Stallion,tvSeries,1990,30,7.1,358,10,Adventure
tt0098756,The Bradys,tvSeries,1990,60,5.7,255,10,Comedy
tt0098757,Brewster Place,tvSeries,1990,30,6.8,62,10,Drama
tt0098758,Broken Badges,tvMiniSeries,1990,60,7.4,46,10,Crime
tt0098761,Capital News,tvSeries,1990,60,5.5,17,10,Drama
tt0098762,The Adventures of Super Mario Bros. 3,tvSeries,1990,11,7.0,935,10,Adventure
tt0098763,The New Adventures of Captain Planet,tvSeries,1990,23,6.7,10541,10,Action
tt0098764,Carol & Company,tvSeries,1990,30,7.4,82,10,Comedy
tt0098768,City,tvSeries,1990,30,5.8,29,10,Comedy
tt0098769,The Civil War,tvMiniSeries,1990,680,9.0,13551,10,Documentary
tt0098772,Cop Rock,tvSeries,1990,60,4.3,479,10,Comedy
tt0098773,Counterstrike,tvSeries,1990,60,7.4,176,10,Action
tt0098774,The Crystal Maze,tvSeries,1990,60,8.2,1591,10,Adventure
tt0098775,DEA,tvSeries,1990,60,7.4,19,10,Drama
tt0098776,The Dave Thomas Comedy Show,tvSeries,1990,30,5.7,27,10,Comedy
tt0098778,Down Home,tvSeries,1990,30,5.7,13,10,Comedy
tt0098779,Dracula: The Series,tvSeries,1990,22,7.7,223,10,Adventure
tt0098780,Dream On,tvSeries,1990,30,7.5,2955,10,Comedy
tt0098782,Drug Wars: The Camarena Story,tvMiniSeries,1990,270,6.6,563,10,Crime
tt0098783,E.A.R.T.H. Force,tvSeries,1990,60,6.9,29,10,Other
tt0098786,Elvis - Good Rockin' Tonight,tvSeries,1990,30,8.2,182,10,Other
tt0098789,Equal Justice,tvSeries,1990,60,6.6,95,10,Drama
tt0098790,Evening Shade,tvSeries,1990,30,6.9,1158,10,Comedy
tt0098791,The Family Man,tvSeries,1990,30,6.6,26,10,Comedy
tt0098792,A Family for Joe,tvSeries,1990,30,6.7,23,10,Comedy
tt0098793,The Fanelli Boys,tvSeries,1990,30,7.6,46,10,Comedy
tt0098795,Ferris Bueller,tvSeries,1990,30,5.1,533,10,Comedy
tt0098796,Enemy's Enemy,tvMiniSeries,1990,398,6.8,536,10,Other
tt0098798,The Flash,tvSeries,1990,48,7.2,6396,10,Action
tt0098800,The Fresh Prince of Bel-Air,tvSeries,1990,22,7.9,120855,10,Comedy
tt0098801,Gabriel's Fire,tvSeries,1990,60,7.2,106,10,Drama
tt0098802,Get a Life,tvSeries,1990,30,8.2,2303,10,Comedy
tt0098803,The Girl from Tomorrow,tvSeries,1991,23,7.9,1077,10,Adventure
tt0098804,Glory Days,tvSeries,1990,60,5.6,43,10,Drama
tt0098805,Going Places,tvSeries,1990,30,7.1,54,10,Comedy
tt0098807,Good Grief,tvSeries,1990,30,7.9,36,10,Comedy
tt0098808,Grand Slam,tvSeries,1990,60,8.1,43,10,Adventure
tt0098809,Grand,tvSeries,1990,30,8.0,123,10,Comedy
tt0098811,Gravedale High,tvSeries,1990,30,6.8,138,10,Animation
tt0098813,The Green Man,tvMiniSeries,1990,50,7.2,382,10,Comedy
tt0098815,H.E.L.P.,tvSeries,1990,60,6.9,33,10,Adventure
tt0098818,Harry and the Hendersons,tvSeries,1991,30,5.6,1168,10,Comedy
tt0098820,Have I Got News for You,tvSeries,1990,29,7.9,4448,10,Comedy
tt0098825,House of Cards,tvMiniSeries,1990,226,8.5,13193,10,Drama
tt0098826,Hull High,tvSeries,1990,60,7.9,172,10,Comedy
tt0098830,In Living Color,tvSeries,1990,30,8.1,9526,10,Comedy
tt0098831,The Rose and the Jackal,tvMovie,1990,100,6.3,127,10,Adventure
tt0098832,Jackie Collins' Lucky/Chances,tvMiniSeries,1990,272,6.7,277,10,Drama
tt0098833,Jeeves and Wooster,tvSeries,1990,55,8.4,11639,10,Comedy
tt0098834,The Storyteller: Greek Myths,tvMiniSeries,1990,95,8.2,1493,10,Adventure
tt0098835,Jupiter Moon,tvSeries,1990,30,6.6,75,10,Drama
tt0098837,Keeping Up Appearances,tvSeries,1990,60,7.8,14021,10,Comedy
tt0098838,The Fitzgeralds and the Kennedys,tvMiniSeries,1990,278,7.0,117,10,Drama
tt0098840,Kid 'n' Play,tvSeries,1990,30,5.8,147,10,Adventure
tt0098844,Law & Order,tvSeries,1990,45,7.7,31637,10,Crime
tt0098845,Lenny,tvSeries,1990,30,7.6,13,10,Comedy
tt0098847,Lifestories,tvSeries,1990,60,6.5,15,10,Drama
tt0098848,Little Rosie,tvSeries,1990,30,5.3,47,10,Animation
tt0098851,Maniac Mansion,tvSeries,1990,30,7.4,312,10,Comedy
tt0098855,Married People,tvSeries,1990,30,7.6,49,10,Comedy
tt0098856,The Marsha Warfield Show,tvSeries,1990,60,5.6,11,10,Talk-Show
tt0098857,The Marshall Chronicles,tvSeries,1990,30,5.7,38,10,Comedy
tt0098859,The Marzipan Pig,tvShort,1990,30,8.1,45,5,Animation
tt0098860,Match Game,tvSeries,1990,30,6.3,30,10,Family
tt0098861,Merrie Melodies: Starring Bugs Bunny and Friends,tvSeries,1990,23,8.3,1334,6,Animation
